n_ensemble,weights,dataset,accuracy_mean,accuracy_std
179,Uniform,ilpd,0.708076225045372,0.0396861812522059
189,Uniform,ilpd,0.711524500907441,0.047742954719312
199,Uniform,ilpd,0.702903811252269,0.0407174939876479
average,Uniform,teaching_assistant_LH,0.667954545454545,0.0782328797893784
9,Uniform,teaching_assistant_LH,0.672727272727273,0.0962091385841669
19,Uniform,teaching_assistant_LH,0.642727272727273,0.0988501384028315
29,Uniform,teaching_assistant_LH,0.672727272727273,0.0693668069227854
39,Uniform,teaching_assistant_LH,0.672727272727273,0.0693668069227854
49,Uniform,teaching_assistant_LH,0.653636363636364,0.0687618426230585
59,Uniform,teaching_assistant_LH,0.653636363636364,0.0687618426230585
69,Uniform,teaching_assistant_LH,0.673636363636364,0.0796514445385637
79,Uniform,teaching_assistant_LH,0.653636363636364,0.0687618426230585
89,Uniform,teaching_assistant_LH,0.673636363636364,0.0796514445385637
99,Uniform,teaching_assistant_LH,0.653636363636364,0.0687618426230585
109,Uniform,teaching_assistant_LH,0.673636363636364,0.0796514445385637
119,Uniform,teaching_assistant_LH,0.673636363636364,0.0796514445385637
129,Uniform,teaching_assistant_LH,0.673636363636364,0.0796514445385637
139,Uniform,teaching_assistant_LH,0.673636363636364,0.0796514445385637
149,Uniform,teaching_assistant_LH,0.673636363636364,0.0796514445385637
159,Uniform,teaching_assistant_LH,0.673636363636364,0.0796514445385637
169,Uniform,teaching_assistant_LH,0.673636363636364,0.0796514445385637
179,Uniform,teaching_assistant_LH,0.673636363636364,0.0796514445385637
189,Uniform,teaching_assistant_LH,0.673636363636364,0.0796514445385637
199,Uniform,teaching_assistant_LH,0.673636363636364,0.0796514445385637
average,Uniform,teaching_assistant_MH,0.716363636363636,0.187169161924396
9,Uniform,teaching_assistant_MH,0.710909090909091,0.194166533654881
19,Uniform,teaching_assistant_MH,0.729090909090909,0.169740254219979
29,Uniform,teaching_assistant_MH,0.72,0.182614418137402
39,Uniform,teaching_assistant_MH,0.72,0.182614418137402
49,Uniform,teaching_assistant_MH,0.72,0.182614418137402
59,Uniform,teaching_assistant_MH,0.72,0.182614418137402
69,Uniform,teaching_assistant_MH,0.72,0.182614418137402
79,Uniform,teaching_assistant_MH,0.710909090909091,0.194166533654881
89,Uniform,teaching_assistant_MH,0.710909090909091,0.194166533654881
99,Uniform,teaching_assistant_MH,0.710909090909091,0.194166533654881
109,Uniform,teaching_assistant_MH,0.710909090909091,0.194166533654881
119,Uniform,teaching_assistant_MH,0.710909090909091,0.194166533654881
129,Uniform,teaching_assistant_MH,0.72,0.182614418137402
139,Uniform,teaching_assistant_MH,0.72,0.182614418137402
149,Uniform,teaching_assistant_MH,0.710909090909091,0.194166533654881
159,Uniform,teaching_assistant_MH,0.710909090909091,0.194166533654881
169,Uniform,teaching_assistant_MH,0.710909090909091,0.194166533654881
179,Uniform,teaching_assistant_MH,0.72,0.182614418137402
189,Uniform,teaching_assistant_MH,0.72,0.182614418137402
199,Uniform,teaching_assistant_MH,0.72,0.182614418137402
average,Uniform,contraceptive_NL,0.727125751718213,0.0237095904239295
9,Uniform,contraceptive_NL,0.70893470790378,0.0177363254425696
19,Uniform,contraceptive_NL,0.718298969072165,0.0265534631480682
29,Uniform,contraceptive_NL,0.716183419243986,0.0234493972377601
39,Uniform,contraceptive_NL,0.721402491408935,0.0250474560417959
49,Uniform,contraceptive_NL,0.723496563573883,0.0219818284301867
59,Uniform,contraceptive_NL,0.721402491408935,0.0259923135331904
69,Uniform,contraceptive_NL,0.72141323024055,0.0234217503673938
79,Uniform,contraceptive_NL,0.72141323024055,0.0212632963810544
89,Uniform,contraceptive_NL,0.729725085910653,0.0245805264031518
99,Uniform,contraceptive_NL,0.729735824742268,0.0229173952137444
109,Uniform,contraceptive_NL,0.728683419243986,0.0253072769013248
119,Uniform,contraceptive_NL,0.731808419243986,0.0223683673036317
129,Uniform,contraceptive_NL,0.729735824742268,0.0234375693642481
139,Uniform,contraceptive_NL,0.735975085910653,0.0249977406019039
149,Uniform,contraceptive_NL,0.733881013745704,0.0231900448783049
159,Uniform,contraceptive_NL,0.734911941580756,0.0252974017106042
169,Uniform,contraceptive_NL,0.733881013745704,0.0215740635600907
179,Uniform,contraceptive_NL,0.733870274914089,0.0243364976461998
189,Uniform,contraceptive_NL,0.732839347079038,0.0241589397673814
199,Uniform,contraceptive_NL,0.734922680412371,0.0265801545459844
average,Uniform,WineQualityRed_5vs6,0.796639486467731,0.0315980157520305
9,Uniform,WineQualityRed_5vs6,0.768794818413139,0.0378310761103512
19,Uniform,WineQualityRed_5vs6,0.786970853573907,0.0307315933170708
29,Uniform,WineQualityRed_5vs6,0.791539440203562,0.0368269840675155
39,Uniform,WineQualityRed_5vs6,0.797594263243118,0.0263436621885493
49,Uniform,WineQualityRed_5vs6,0.799872773536896,0.0261150086648131
59,Uniform,WineQualityRed_5vs6,0.796061762664816,0.0267936552719005
69,Uniform,WineQualityRed_5vs6,0.793037242655563,0.028930943820553
79,Uniform,WineQualityRed_5vs6,0.793794818413139,0.0288800009233326
89,Uniform,WineQualityRed_5vs6,0.799849641452695,0.0260329743807948
99,Uniform,WineQualityRed_5vs6,0.794552394170715,0.0292462239873339
109,Uniform,WineQualityRed_5vs6,0.802897293546149,0.0356207710159778
119,Uniform,WineQualityRed_5vs6,0.802903076567199,0.0348706077931652
129,Uniform,WineQualityRed_5vs6,0.800618783252371,0.0336235699971778
139,Uniform,WineQualityRed_5vs6,0.798334489937543,0.036958283665991
149,Uniform,WineQualityRed_5vs6,0.802891510525098,0.0334343227976791
159,Uniform,WineQualityRed_5vs6,0.800613000231321,0.0304747443991667
169,Uniform,WineQualityRed_5vs6,0.798340272958594,0.0325181632813077
179,Uniform,WineQualityRed_5vs6,0.80440666204025,0.0308216009873202
189,Uniform,WineQualityRed_5vs6,0.801370575988897,0.0324546298007561
199,Uniform,WineQualityRed_5vs6,0.798346055979644,0.0334514985698534
average,Uniform,vertebral_column,0.841290322580645,0.0620014924482861
9,Uniform,vertebral_column,0.858064516129032,0.0573028498687063
19,Uniform,vertebral_column,0.835483870967742,0.0635228193021158
29,Uniform,vertebral_column,0.832258064516129,0.0564900023078008
39,Uniform,vertebral_column,0.845161290322581,0.0604450293443234
49,Uniform,vertebral_column,0.838709677419355,0.056897877657303
59,Uniform,vertebral_column,0.845161290322581,0.0659342353408855
69,Uniform,vertebral_column,0.838709677419355,0.0608263897794879
79,Uniform,vertebral_column,0.838709677419355,0.0608263897794879
89,Uniform,vertebral_column,0.838709677419355,0.0626984074714548
99,Uniform,vertebral_column,0.841935483870968,0.0670643704495168
109,Uniform,vertebral_column,0.838709677419355,0.0608263897794879
119,Uniform,vertebral_column,0.835483870967742,0.0578050755084542
129,Uniform,vertebral_column,0.841935483870968,0.0616758296761289
139,Uniform,vertebral_column,0.845161290322581,0.0693527548240735
149,Uniform,vertebral_column,0.841935483870968,0.0670643704495168
159,Uniform,vertebral_column,0.841935483870968,0.0653176023590857
169,Uniform,vertebral_column,0.835483870967742,0.0597717940201604
179,Uniform,vertebral_column,0.841935483870968,0.0653176023590857
189,Uniform,vertebral_column,0.845161290322581,0.0604450293443234
199,Uniform,vertebral_column,0.845161290322581,0.0604450293443234
average,Uniform,diabetes,0.755214456596035,0.0499107572595835
9,Uniform,diabetes,0.726606288448394,0.0369071570903349
19,Uniform,diabetes,0.738311688311688,0.0471000446710765
29,Uniform,diabetes,0.743506493506494,0.0554970327402016
39,Uniform,diabetes,0.747368421052632,0.0544130234067316
49,Uniform,diabetes,0.753861927546138,0.0426393397483106
59,Uniform,diabetes,0.756476418318524,0.0366499150552832
69,Uniform,diabetes,0.753861927546138,0.0456122482771831
79,Uniform,diabetes,0.753861927546138,0.0506727188277222
89,Uniform,diabetes,0.757740943267259,0.0507877662434049
99,Uniform,diabetes,0.759056732740943,0.0499315316373308
109,Uniform,diabetes,0.757758031442242,0.0506386441053785
119,Uniform,diabetes,0.761637047163363,0.0504218255494039
129,Uniform,diabetes,0.762935748462064,0.0488373842672286
139,Uniform,diabetes,0.760321257689679,0.0520778124778394
149,Uniform,diabetes,0.759005468215995,0.0546939097699443
159,Uniform,diabetes,0.761602870813397,0.0566837914858942
169,Uniform,diabetes,0.762918660287081,0.0519735405525467
179,Uniform,diabetes,0.762918660287081,0.0547822359278611
189,Uniform,diabetes,0.76161995898838,0.0531129874301324
199,Uniform,diabetes,0.762918660287081,0.0547822359278611
average,Uniform,credit-g,0.75615,0.0281878630903524
9,Uniform,credit-g,0.736,0.0302581485810939
19,Uniform,credit-g,0.744,0.0309838667696593
29,Uniform,credit-g,0.75,0.0346410161513775
39,Uniform,credit-g,0.755,0.0263523138347365
49,Uniform,credit-g,0.757,0.0231180545125329
59,Uniform,credit-g,0.759,0.0251440295541948
69,Uniform,credit-g,0.758,0.0289827534923788
79,Uniform,credit-g,0.763,0.024517567397911
89,Uniform,credit-g,0.764,0.0222111083319435
99,Uniform,credit-g,0.76,0.0240370085030932
109,Uniform,credit-g,0.762,0.0322490309931942
119,Uniform,credit-g,0.755,0.0302765035409749
129,Uniform,credit-g,0.758,0.0301109061083632
139,Uniform,credit-g,0.758,0.0325917508308808
149,Uniform,credit-g,0.761,0.0251440295541948
159,Uniform,credit-g,0.758,0.030840089349921
169,Uniform,credit-g,0.753,0.0326768691550732
179,Uniform,credit-g,0.757,0.0240601099101581
189,Uniform,credit-g,0.756,0.0263312235441753
199,Uniform,credit-g,0.759,0.0292308816911916
average,Uniform,arrhythmia_cfs,0.845376811594203,0.047076615851362
9,Uniform,arrhythmia_cfs,0.83207729468599,0.065258610063444
19,Uniform,arrhythmia_cfs,0.843043478260869,0.0570814054861976
29,Uniform,arrhythmia_cfs,0.845217391304348,0.0462644012515513
39,Uniform,arrhythmia_cfs,0.831884057971014,0.0444963406784374
49,Uniform,arrhythmia_cfs,0.834154589371981,0.0519986968585847
59,Uniform,arrhythmia_cfs,0.840676328502415,0.0416878325354973
69,Uniform,arrhythmia_cfs,0.840676328502415,0.0531141301902961
79,Uniform,arrhythmia_cfs,0.847342995169082,0.0424168161209621
89,Uniform,arrhythmia_cfs,0.84951690821256,0.0442017986012752
99,Uniform,arrhythmia_cfs,0.842946859903381,0.0409007886577276
109,Uniform,arrhythmia_cfs,0.84951690821256,0.0455299593564627
119,Uniform,arrhythmia_cfs,0.842898550724638,0.0473795689460362
129,Uniform,arrhythmia_cfs,0.842946859903381,0.0435011867748612
139,Uniform,arrhythmia_cfs,0.849565217391304,0.0428282053692417
149,Uniform,arrhythmia_cfs,0.849613526570048,0.0485693744340111
159,Uniform,arrhythmia_cfs,0.851739130434783,0.0433339586613097
169,Uniform,arrhythmia_cfs,0.851787439613526,0.0431085852651245
179,Uniform,arrhythmia_cfs,0.851787439613526,0.0467714467443161
189,Uniform,arrhythmia_cfs,0.856183574879227,0.0459679880467941
199,Uniform,arrhythmia_cfs,0.853961352657005,0.0471212229851087
average,Uniform,pima,0.753721804511278,0.0371334047410324
9,Uniform,pima,0.736927546138072,0.0422645416832583
19,Uniform,pima,0.748701298701299,0.0300271646524865
29,Uniform,pima,0.751281613123718,0.0423594722065881
39,Uniform,pima,0.74865003417635,0.0427740568798565
49,Uniform,pima,0.748667122351333,0.0389993935278471
59,Uniform,pima,0.746086807928913,0.0343430704126725
69,Uniform,pima,0.746052631578947,0.0323416202800787
79,Uniform,pima,0.747385509227614,0.0342859231178387
89,Uniform,pima,0.755211893369788,0.0316704172529628
99,Uniform,pima,0.746120984278879,0.0317349744025277
109,Uniform,pima,0.75393028024607,0.0378259447039202
119,Uniform,pima,0.756561859193438,0.0364027774837431
129,Uniform,pima,0.756561859193438,0.0388917085422625
139,Uniform,pima,0.759142173615858,0.0391235249644266
149,Uniform,pima,0.761773752563226,0.0402912649646292
159,Uniform,pima,0.763055365686945,0.0383939852832299
169,Uniform,pima,0.764354066985646,0.0392124697854323
179,Uniform,pima,0.763072453861928,0.0401950660958053
189,Uniform,pima,0.760457963089542,0.0338735733734073
199,Uniform,pima,0.760440874914559,0.0376571452076751
average,Uniform,mammographic,0.778313253012048,0.0440377228782037
9,Uniform,mammographic,0.778313253012048,0.0511792203118843
19,Uniform,mammographic,0.779518072289157,0.03638917683558
29,Uniform,mammographic,0.783132530120482,0.042502029093407
39,Uniform,mammographic,0.780722891566265,0.0457196770144826
49,Uniform,mammographic,0.781927710843374,0.046645164363806
59,Uniform,mammographic,0.783132530120482,0.0428798323374751
69,Uniform,mammographic,0.779518072289157,0.0421399787616857
79,Uniform,mammographic,0.77710843373494,0.0422164579149169
89,Uniform,mammographic,0.778313253012048,0.0425778579299552
99,Uniform,mammographic,0.77710843373494,0.0437179539298739
109,Uniform,mammographic,0.775903614457831,0.0386043850303547
119,Uniform,mammographic,0.778313253012048,0.0414258536810526
129,Uniform,mammographic,0.77710843373494,0.0410543138559455
139,Uniform,mammographic,0.771084337349398,0.0461410654340403
149,Uniform,mammographic,0.775903614457831,0.0462109232566828
159,Uniform,mammographic,0.775903614457831,0.0462109232566828
169,Uniform,mammographic,0.778313253012048,0.0458605700357275
179,Uniform,mammographic,0.77710843373494,0.046920969660835
189,Uniform,mammographic,0.779518072289157,0.0454543255162117
199,Uniform,mammographic,0.778313253012048,0.0469037793434744
average,Uniform,titanic,0.788613035819143,0.0257637802761638
9,Uniform,titanic,0.784556664709336,0.0336107849998343
19,Uniform,titanic,0.79064591896653,0.0284829417163615
29,Uniform,titanic,0.78761009982384,0.0188128861311865
39,Uniform,titanic,0.789142689371697,0.0202076963561504
49,Uniform,titanic,0.788373458602466,0.0258503970599236
59,Uniform,titanic,0.785325895478567,0.0226657899245247
69,Uniform,titanic,0.785325895478567,0.0256160081696232
79,Uniform,titanic,0.78380504991192,0.0241412031982631
89,Uniform,titanic,0.78380504991192,0.0264450565671713
99,Uniform,titanic,0.784562536699941,0.0244064941201214
109,Uniform,titanic,0.787633587786259,0.0247900363429235
119,Uniform,titanic,0.791444509688785,0.0227609823811937
129,Uniform,titanic,0.789917792131533,0.0272075664105595
139,Uniform,titanic,0.789917792131533,0.0262384190960525
149,Uniform,titanic,0.791444509688785,0.0292359887051724
159,Uniform,titanic,0.792971227246036,0.0286637899827799
169,Uniform,titanic,0.792971227246036,0.0286637899827799
179,Uniform,titanic,0.789917792131533,0.0254873863247373
189,Uniform,titanic,0.792971227246036,0.0272748475007568
199,Uniform,titanic,0.789917792131533,0.0247135405531606
average,Uniform,sonar,0.802738095238095,0.0667495365502079
9,Uniform,sonar,0.812857142857143,0.0684585343450045
19,Uniform,sonar,0.816904761904762,0.0757464741401948
29,Uniform,sonar,0.797380952380952,0.0695561459915678
39,Uniform,sonar,0.807619047619048,0.0873290000252027
49,Uniform,sonar,0.807619047619048,0.0674631185226133
59,Uniform,sonar,0.812619047619048,0.0649054004712246
69,Uniform,sonar,0.807857142857143,0.0740272433219168
79,Uniform,sonar,0.807857142857143,0.0805471494558456
89,Uniform,sonar,0.812857142857143,0.0602254937987276
99,Uniform,sonar,0.798333333333333,0.073102519327815
109,Uniform,sonar,0.793571428571429,0.0627742157799891
119,Uniform,sonar,0.803095238095238,0.0516306289356741
129,Uniform,sonar,0.798333333333333,0.0576919168413865
139,Uniform,sonar,0.798333333333333,0.0576919168413865
149,Uniform,sonar,0.798333333333333,0.0576919168413865
159,Uniform,sonar,0.788571428571428,0.07124137728342
169,Uniform,sonar,0.793333333333333,0.0776383590090591
179,Uniform,sonar,0.798095238095238,0.0583298238875217
